単位[MW平均],,供給力,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/3/1,00:00,6334,808,493,3195,73,707,0,280,0,318,0,0,0,10,0,-129,0,580,0,6335
2025/3/1,00:30,6157,810,317,3100,73,705,0,279,0,318,0,0,0,14,0,-92,0,632,0,6156
2025/3/1,01:00,6125,808,343,3071,72,700,0,282,0,318,0,0,0,17,0,-143,0,656,0,6124
2025/3/1,01:30,6192,808,409,3099,73,706,0,281,0,319,0,0,0,14,0,-10,0,492,0,6191
2025/3/1,02:00,6283,810,424,3031,74,700,0,279,0,318,0,0,0,12,0,2,0,632,0,6282
2025/3/1,02:30,6472,808,433,2995,74,700,0,263,0,318,0,0,0,14,0,161,0,706,0,6472
2025/3/1,03:00,6589,808,480,2967,75,707,0,260,0,318,0,0,0,14,0,456,0,502,0,6587
2025/3/1,03:30,6684,808,499,2971,76,705,0,261,0,318,0,0,0,14,0,442,0,590,0,6684
2025/3/1,04:00,6790,810,560,2950,76,711,0,259,0,318,0,0,0,13,0,529,0,564,0,6790
2025/3/1,04:30,6674,808,566,2910,76,705,0,259,0,317,0,0,0,12,0,337,0,684,0,6674
2025/3/1,05:00,6582,810,595,2728,76,705,0,291,0,319,0,0,0,11,0,168,0,878,0,6581
2025/3/1,05:30,6541,808,734,2706,76,712,0,304,0,319,0,0,0,14,0,39,0,828,0,6540
2025/3/1,06:00,6584,810,725,2661,76,708,0,316,0,320,0,0,0,15,0,46,1,906,0,6584
2025/3/1,06:30,6620,806,700,2702,76,708,0,320,0,321,0,8,0,14,0,62,0,902,0,6619
2025/3/1,07:00,6701,808,560,2707,76,710,0,322,0,321,0,164,0,16,0,152,0,864,0,6700
2025/3/1,07:30,6679,810,519,2597,75,705,0,336,0,321,0,401,0,11,0,58,0,844,0,6677
2025/3/1,08:00,6594,808,611,2657,75,705,0,352,0,320,0,701,52,5,3,103,0,258,0,6595
2025/3/1,08:30,6690,810,540,2871,75,709,2,350,0,319,0,1041,72,2,2,73,0,-102,0,6688
2025/3/1,09:00,6530,808,527,2804,73,670,7,313,0,319,0,1398,93,1,1,-72,0,-312,0,6529
2025/3/1,09:30,6355,810,463,2686,72,659,12,301,0,319,0,1783,109,0,0,-69,0,-668,0,6356
2025/3/1,10:00,6113,808,330,2558,71,657,17,282,0,319,0,2156,129,0,27,-721,0,-348,0,6112
2025/3/1,10:30,5837,808,388,2529,70,657,19,279,0,318,0,2444,145,0,25,-824,-2,-832,0,5835
2025/3/1,11:00,5572,808,341,2289,70,660,19,272,0,318,0,2721,161,3,2,-1582,-2,-328,0,5570
2025/3/1,11:30,5283,810,350,2041,70,666,19,264,0,318,0,2871,181,5,3,-1694,-2,-418,0,5281
2025/3/1,12:00,5012,808,293,1757,69,694,19,257,0,320,0,3291,195,7,5,-1630,-2,-852,0,5012
2025/3/1,12:30,5061,808,280,1590,69,656,19,254,0,320,0,3713,217,6,4,-1514,-2,-1120,0,5060
2025/3/1,13:00,5096,810,274,1439,70,656,19,253,0,318,0,3836,220,8,5,-1502,-2,-1064,0,5096
2025/3/1,13:30,5023,808,357,1329,70,656,19,255,0,317,0,3819,221,8,5,-1471,-2,-1124,0,5022
2025/3/1,14:00,4984,810,521,1387,70,670,19,285,0,318,0,3650,213,8,6,-1345,-2,-1388,0,4984
2025/3/1,14:30,4942,808,642,1498,70,684,19,308,0,317,0,3270,201,6,4,-1261,-2,-1400,0,4940
