単位[MW平均],,供給力,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/2/1,00:00,6777,808,720,3957,194,746,0,279,0,273,0,0,0,24,0,0,0,-224,0,6777
2025/2/1,00:30,6629,808,506,3782,165,748,0,272,0,273,0,0,0,25,0,-3,0,52,0,6628
2025/2/1,01:00,6717,808,527,3730,163,748,0,260,0,273,0,0,0,30,0,-74,0,252,0,6717
2025/2/1,01:30,6709,806,524,3673,166,746,0,250,0,273,0,0,0,32,0,-74,0,312,0,6708
2025/2/1,02:00,6818,808,486,3674,169,750,0,246,0,273,0,0,0,31,0,-10,0,392,0,6819
2025/2/1,02:30,7041,808,474,3735,171,746,0,252,0,273,0,0,0,31,0,0,0,552,0,7042
2025/2/1,03:00,7163,806,612,3887,169,750,0,251,0,273,0,0,0,31,0,0,0,384,0,7163
2025/2/1,03:30,7146,806,486,3742,172,748,0,203,0,272,0,0,0,32,0,0,0,684,0,7145
2025/2/1,04:00,7227,808,495,3896,171,748,0,198,0,273,0,0,0,31,0,0,0,606,0,7226
2025/2/1,04:30,7096,808,460,3827,173,748,0,195,0,274,0,0,0,32,0,0,0,580,0,7097
2025/2/1,05:00,7142,808,508,3899,171,746,0,208,0,275,0,0,0,32,0,0,0,496,0,7143
2025/2/1,05:30,7085,808,487,3823,170,752,0,228,0,276,0,0,0,35,0,0,0,506,0,7085
2025/2/1,06:00,7102,810,443,3788,172,748,0,252,0,274,0,0,0,33,0,0,0,582,0,7102
2025/2/1,06:30,7282,808,539,3886,171,752,0,308,0,274,0,0,0,28,0,0,0,516,0,7282
2025/2/1,07:00,7439,808,534,3970,172,752,0,322,0,274,0,15,0,22,0,0,1,568,0,7438
2025/2/1,07:30,7565,808,520,4035,170,750,0,310,0,274,0,253,0,20,0,0,0,426,0,7566
2025/2/1,08:00,7607,808,375,3857,171,731,0,298,0,272,0,554,0,31,0,0,0,510,0,7607
2025/2/1,08:30,7688,808,366,3785,173,731,0,305,0,272,0,936,0,27,0,0,0,284,0,7687
2025/2/1,09:00,7625,809,394,3777,171,730,0,282,0,271,0,1285,0,27,0,0,0,-122,0,7624
2025/2/1,09:30,7545,809,363,3749,170,732,0,293,0,269,0,1541,0,21,0,0,0,-402,0,7545
2025/2/1,10:00,7513,810,500,3771,170,706,0,266,0,268,0,1566,0,19,0,0,0,-564,0,7512
2025/2/1,10:30,7447,808,483,4023,169,698,0,273,0,270,0,1173,0,23,0,27,0,-500,0,7447
2025/2/1,11:00,7380,810,419,3813,167,700,0,254,0,269,0,1079,0,29,0,0,0,-160,0,7380
2025/2/1,11:30,7358,808,490,3959,168,703,0,264,0,269,0,990,0,34,0,44,0,-372,0,7357
2025/2/1,12:00,7256,808,505,3886,168,706,0,294,0,272,0,931,0,37,0,33,-2,-384,0,7254
2025/2/1,12:30,7310,808,499,3831,168,698,0,282,0,269,0,920,0,38,0,0,-2,-202,0,7309
2025/2/1,13:00,7492,810,576,4093,168,706,0,304,0,269,0,675,0,35,0,230,-2,-374,0,7490
2025/2/1,13:30,7518,808,803,4100,166,706,0,260,0,266,0,450,0,34,0,887,-2,-962,0,7516
2025/2/1,14:00,7573,808,975,4226,168,706,0,254,0,265,0,335,0,36,0,536,-2,-736,0,7571
2025/2/1,14:30,7541,810,1010,4320,169,706,0,254,0,265,0,264,0,33,0,246,0,-536,0,7541
2025/2/1,15:00,7556,808,825,4101,169,722,0,242,0,265,0,211,0,47,0,40,0,126,0,7556
2025/2/1,15:30,7687,810,939,4142,171,730,0,264,0,265,0,152,0,59,0,0,0,154,0,7686
2025/2/1,16:00,7797,808,889,4119,169,765,0,364,0,265,0,105,0,56,0,0,0,256,0,7796
2025/2/1,16:30,7927,810,926,4243,172,765,0,380,0,265,0,53,0,52,0,107,1,152,0,7926
2025/2/1,17:00,8017,808,800,4095,170,763,0,384,0,266,0,15,0,47,0,22,3,644,0,8017
2025/2/1,17:30,8131,810,876,4183,173,765,0,385,0,266,0,0,0,54,0,121,3,496,0,8132
2025/2/1,18:00,8146,809,820,4148,173,763,0,353,0,264,0,0,0,59,0,28,3,726,0,8146
2025/2/1,18:30,8141,809,757,4159,173,765,0,349,0,264,0,0,0,73,0,30,3,760,0,8142
2025/2/1,19:00,8022,808,682,4120,173,766,0,355,0,262,0,0,0,78,0,2,3,774,0,8023
2025/2/1,19:30,7956,810,674,4130,173,768,0,346,0,261,0,0,0,76,0,0,3,716,0,7957
2025/2/1,20:00,7878,808,644,4109,173,765,0,339,0,261,0,0,0,78,0,0,1,700,0,7878
2025/2/1,20:30,7792,808,771,4162,170,769,0,344,0,262,0,0,0,66,0,-30,1,468,0,7791
2025/2/1,21:00,7562,810,617,4135,170,763,0,321,0,263,0,0,0,64,0,-75,1,492,0,7561
2025/2/1,21:30,7358,808,641,4101,171,763,0,323,0,262,0,0,0,64,0,-74,1,298,0,7358
2025/2/1,22:00,7163,810,640,4120,168,754,0,319,0,262,0,0,0,59,0,-74,0,104,0,7162
2025/2/1,22:30,6907,808,571,4116,168,749,0,315,0,262,0,0,0,60,0,-74,0,-68,0,6907
2025/2/1,23:00,6786,808,620,4113,167,752,0,322,0,263,0,0,0,51,0,-74,0,-236,0,6786
2025/2/1,23:30,6554,808,592,4089,164,721,0,308,0,263,0,0,0,45,0,-74,0,-364,0,6552
2025/2/2,00:00,6470,808,620,3954,165,717,0,243,0,262,0,0,0,24,0,-5,0,-316,0,6472
2025/2/2,00:30,6388,808,575,3931,164,716,0,235,0,262,0,0,0,29,0,0,0,-332,0,6388
2025/2/2,01:00,6330,808,574,3925,167,724,0,248,0,262,0,0,0,26,0,0,0,-404,0,6330
2025/2/2,01:30,6377,808,562,3985,167,716,0,286,0,262,0,0,0,21,0,0,0,-430,0,6377
2025/2/2,02:00,6389,810,557,3920,167,718,0,308,0,262,0,0,0,19,0,0,0,-372,0,6389
2025/2/2,02:30,6607,808,563,3985,168,718,0,312,0,261,0,0,0,20,0,0,0,-228,0,6607
2025/2/2,03:00,6676,810,512,3942,171,716,0,306,0,261,0,0,0,21,0,0,0,-64,0,6675
2025/2/2,03:30,6809,808,593,3930,169,720,0,267,0,261,0,0,0,22,0,0,0,40,0,6810
2025/2/2,04:00,6857,808,517,4023,171,720,0,232,0,261,0,0,0,24,0,0,0,100,0,6856
2025/2/2,04:30,6757,808,549,3972,169,718,0,228,0,261,0,0,0,26,0,0,0,26,0,6757
2025/2/2,05:00,6782,810,540,4034,169,716,0,231,0,259,0,0,0,26,0,0,0,-4,0,6781
2025/2/2,05:30,6641,808,518,3905,168,726,0,231,0,260,0,0,0,20,0,0,0,4,0,6640
2025/2/2,06:00,6730,810,532,3838,168,728,0,285,0,261,0,0,0,25,0,-20,0,104,0,6731
2025/2/2,06:30,6666,808,432,3824,168,733,0,296,0,261,0,0,0,26,0,-74,0,192,0,6666
2025/2/2,07:00,6835,810,483,3855,169,733,0,277,0,261,0,5,0,21,0,-74,0,294,0,6834
2025/2/2,07:30,7005,808,442,4044,168,733,0,281,0,260,0,105,0,18,0,-33,1,176,0,7003
2025/2/2,08:00,7057,808,375,3890,168,733,0,294,0,259,0,280,0,19,0,-49,0,278,0,7055
2025/2/2,08:30,7112,808,405,3787,171,732,0,303,0,259,0,658,0,18,0,14,0,-44,0,7111
2025/2/2,09:00,7083,808,398,3676,164,720,0,301,0,258,0,1250,0,23,0,0,1,-516,0,7083
2025/2/2,09:30,6997,808,489,3956,164,722,0,301,0,256,0,1615,0,36,0,50,0,-1400,0,6997
2025/2/2,10:00,6765,808,482,3759,163,720,0,264,0,255,0,1943,0,39,0,-148,0,-1520,0,6765
2025/2/2,10:30,6558,808,457,3618,164,722,0,278,0,255,0,2247,0,36,0,-719,0,-1308,0,6558
2025/2/2,11:00,6409,808,485,3667,164,718,0,274,0,254,0,2431,0,27,0,-1262,0,-1156,0,6410
2025/2/2,11:30,6347,808,524,3856,165,718,0,283,0,255,0,2243,0,23,0,-1504,0,-1024,0,6347
2025/2/2,12:00,6421,810,477,3891,164,722,0,302,0,256,0,1943,0,21,0,-1193,0,-972,0,6421
2025/2/2,12:30,6317,808,414,3722,164,716,0,313,0,255,0,1535,0,16,0,-1033,0,-594,0,6316
2025/2/2,13:00,6080,808,343,3459,164,720,0,328,0,255,0,1501,0,11,0,-1100,-2,-408,0,6079
2025/2/2,13:30,6091,808,487,3576,163,722,0,342,0,254,0,1612,0,16,0,-1148,-2,-740,0,6090
2025/2/2,14:00,6084,808,442,3778,163,722,0,328,0,254,0,1474,0,14,0,-889,-2,-1008,0,6084
2025/2/2,14:30,6017,810,405,3845,163,716,0,305,0,254,0,1315,0,17,0,-596,-2,-1216,0,6016
2025/2/2,15:00,5894,808,417,3771,162,722,0,295,0,254,0,1216,0,11,0,-569,-2,-1192,0,5893
2025/2/2,15:30,6103,808,475,3513,162,724,0,295,0,254,0,1149,0,14,0,-215,-2,-1076,0,6101
2025/2/2,16:00,6257,808,457,3759,165,738,0,304,0,255,0,791,0,18,0,-139,0,-900,0,6256
2025/2/2,16:30,6416,808,477,4033,163,739,0,342,0,255,0,416,0,29,0,-353,0,-492,0,6417
2025/2/2,17:00,6718,810,510,4028,164,737,0,409,0,255,0,123,0,34,0,-267,1,-86,0,6718
2025/2/2,17:30,7119,808,512,3983,166,739,0,404,0,256,0,1,0,35,0,84,1,130,0,7119
2025/2/2,18:00,7296,809,698,3959,167,737,0,404,0,256,0,0,0,36,0,107,3,120,0,7296
2025/2/2,18:30,7264,809,627,3923,166,737,0,405,0,257,0,0,0,35,0,86,3,218,0,7266
2025/2/2,19:00,7244,808,638,3864,165,739,0,410,0,255,0,0,0,31,0,88,3,244,0,7245
2025/2/2,19:30,7274,810,672,3932,165,739,0,414,0,254,0,0,0,34,0,91,3,160,0,7274
2025/2/2,20:00,7153,808,625,3889,167,739,0,378,0,254,0,0,0,34,0,80,3,176,0,7153
2025/2/2,20:30,7096,810,694,3927,165,737,0,336,0,255,0,0,0,24,0,93,3,52,0,7096
2025/2/2,21:00,6926,808,665,4002,164,735,0,343,0,256,0,0,0,18,0,46,1,-112,0,6926
2025/2/2,21:30,6804,810,699,3905,164,731,0,315,0,255,0,0,0,16,0,32,1,-124,0,6804
2025/2/2,22:00,6596,808,723,3828,164,735,0,329,0,255,0,0,0,14,0,12,1,-272,0,6597
2025/2/2,22:30,6223,808,656,3758,163,731,0,317,0,255,0,0,0,11,0,0,1,-476,0,6224
2025/2/2,23:00,6175,810,744,3695,162,734,0,335,0,256,0,0,0,7,0,0,0,-568,0,6175
2025/2/2,23:30,6006,808,641,3424,162,727,0,282,0,256,0,0,0,9,0,0,0,-304,0,6005
2025/2/3,00:00,6005,808,758,3404,167,715,0,259,0,253,0,0,0,19,0,0,-2,-376,0,6005
2025/2/3,00:30,5914,808,644,3178,165,722,0,257,0,253,0,0,0,29,0,0,-2,-140,0,5914
2025/2/3,01:00,5949,810,557,3229,165,716,0,253,0,252,0,0,0,36,0,0,-2,-68,0,5948
2025/2/3,01:30,6010,808,580,3394,168,718,0,255,0,253,0,0,0,50,0,0,-2,-214,0,6010
2025/2/3,02:00,6220,810,529,3448,168,718,0,256,0,252,0,0,0,56,0,0,-2,-16,0,6219
2025/2/3,02:30,6401,808,590,3383,167,716,0,294,0,253,0,0,0,53,0,0,-2,140,0,6402
2025/2/3,03:00,6571,808,583,3319,167,722,0,308,0,253,0,0,0,58,0,0,-2,356,0,6572
2025/2/3,03:30,6681,808,615,3447,165,718,0,318,0,252,0,0,0,71,0,0,-2,288,0,6680
2025/2/3,04:00,6809,808,622,3382,167,718,0,300,0,253,0,0,0,79,0,0,0,480,0,6809
2025/2/3,04:30,6912,810,642,3386,167,716,0,291,0,252,0,0,0,81,0,0,-1,568,0,6912
2025/2/3,05:00,6936,808,633,3349,167,722,0,299,0,254,0,0,0,77,0,0,0,628,0,6937
2025/2/3,05:30,7079,810,516,3451,167,726,0,296,0,255,0,0,0,75,0,-11,0,794,0,7079
2025/2/3,06:00,7343,808,542,3667,166,739,0,337,0,256,0,0,0,77,0,-26,0,776,0,7342
2025/2/3,06:30,7590,810,514,3816,168,737,0,347,0,256,0,0,0,61,0,423,0,458,0,7590
2025/2/3,07:00,7884,808,479,3872,167,735,0,372,0,255,0,11,0,77,0,552,0,556,0,7884
2025/2/3,07:30,8164,810,499,3888,168,739,0,412,0,255,0,252,0,87,0,708,0,346,0,8164
2025/2/3,08:00,8504,806,630,3995,168,718,0,409,0,252,0,766,0,87,0,470,2,200,0,8503
2025/2/3,08:30,8919,810,638,4045,169,724,0,427,0,252,0,1349,0,98,0,334,0,72,0,8918
2025/2/3,09:00,8831,808,635,4129,169,731,0,464,0,250,0,1752,0,107,0,139,0,-352,0,8832
2025/2/3,09:30,8665,810,434,4007,169,731,0,395,0,251,0,2185,0,119,0,-7,0,-428,0,8666
2025/2/3,10:00,8350,808,458,4040,159,741,0,336,0,251,0,2336,0,128,0,-594,0,-312,0,8351
2025/2/3,10:30,8528,808,477,4223,106,739,0,340,0,250,0,2284,0,126,0,-113,0,-712,0,8528
2025/2/3,11:00,8427,810,511,4248,93,731,0,309,0,251,0,1997,0,133,0,-651,0,-4,0,8428
2025/2/3,11:30,8281,808,444,4160,89,729,0,305,0,250,0,1855,0,143,0,-818,0,316,0,8281
2025/2/3,12:00,7837,806,423,4132,98,733,0,292,0,253,0,1721,0,152,0,-1027,-2,256,0,7837
2025/2/3,12:30,7785,810,441,4194,130,733,0,321,0,252,0,1846,0,156,0,-1170,-2,72,0,7783
2025/2/3,13:00,8003,808,437,4188,183,732,0,336,0,251,0,1861,0,151,0,-985,0,40,0,8002
