単位[MW平均],,供給力,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/6/1,00:00,4475,808,495,2510,154,509,0,273,0,217,0,0,0,18,0,0,0,-510,0,4474
2025/6/1,00:30,4329,810,402,2340,153,504,0,265,0,217,0,0,0,17,0,0,0,-380,0,4328
2025/6/1,01:00,4299,808,353,2119,154,508,0,253,0,217,0,0,0,17,0,-70,0,-60,0,4299
2025/6/1,01:30,4277,808,397,2134,154,503,0,257,0,217,0,0,0,18,0,42,-1,-252,0,4277
2025/6/1,02:00,4369,808,381,2104,156,504,0,267,0,216,0,0,0,20,0,26,0,-112,0,4370
2025/6/1,02:30,4462,808,367,2267,155,505,0,271,0,216,0,0,0,21,0,435,0,-584,0,4461
2025/6/1,03:00,4752,808,303,2541,155,505,0,264,0,216,0,0,0,24,0,520,0,-584,0,4752
2025/6/1,03:30,4816,808,300,2656,155,515,0,264,0,215,0,0,0,26,0,484,0,-608,0,4815
2025/6/1,04:00,5029,808,297,2688,158,510,0,303,0,216,0,0,0,22,0,520,0,-492,0,5030
2025/6/1,04:30,4952,810,300,2694,156,508,0,310,0,216,0,0,0,21,0,588,0,-652,0,4951
2025/6/1,05:00,5049,808,303,2526,156,508,0,309,0,217,0,46,0,20,0,867,0,-712,0,5048
2025/6/1,05:30,4997,810,300,2346,156,503,79,293,0,217,0,332,0,20,0,800,0,-780,0,4997
2025/6/1,06:00,4880,808,336,2042,154,485,124,289,0,216,0,800,0,23,0,750,0,-1024,0,4879
2025/6/1,06:30,4758,808,449,1842,153,386,170,282,0,206,6,1387,0,24,0,389,0,-1168,0,4758
2025/6/1,07:00,4647,810,406,1476,153,279,248,277,0,186,28,2009,0,21,0,-193,0,-778,0,4646
2025/6/1,07:30,4598,808,369,1337,151,270,283,283,0,171,67,2624,0,11,0,-567,0,-858,0,4599
2025/6/1,08:00,4571,810,373,1336,150,268,279,295,0,165,89,3054,318,0,36,-975,0,-906,0,4570
2025/6/1,08:30,4692,808,431,1386,150,244,273,293,0,165,89,3313,647,0,34,-1305,0,-792,0,4693
2025/6/1,09:00,4715,808,390,1301,149,240,269,290,0,164,89,3738,772,0,35,-1239,0,-1128,0,4713
2025/6/1,09:30,4889,810,372,1297,149,238,271,286,0,165,89,4150,818,0,33,-1230,0,-1348,0,4889
2025/6/1,10:00,4979,808,402,1334,151,238,276,300,0,165,89,4473,853,0,32,-1512,0,-1380,0,4979
2025/6/1,10:30,4986,808,397,1279,148,238,280,295,0,165,89,4657,925,0,30,-1581,0,-1420,0,4986
2025/6/1,11:00,5065,810,409,1322,148,238,278,263,0,165,89,4744,1021,0,30,-1595,0,-1440,0,5064
2025/6/1,11:30,5037,808,451,1378,148,240,277,239,0,169,89,4546,1313,0,29,-1543,0,-1400,0,5036
2025/6/1,12:00,5171,808,422,1441,149,240,275,236,0,175,89,4511,1365,0,30,-1500,0,-1312,0,5170
2025/6/1,12:30,5080,808,331,1312,149,238,275,235,0,176,89,4640,1102,0,33,-1493,0,-1316,0,5080
2025/6/1,13:00,5015,808,329,1251,150,238,278,247,0,176,89,4691,955,0,31,-1496,0,-1380,0,5014
2025/6/1,13:30,4960,808,398,1369,149,242,282,260,0,178,89,4551,856,0,33,-1551,0,-1444,0,4960
2025/6/1,14:00,4962,808,429,1383,149,236,286,267,0,193,88,4456,674,0,32,-1482,0,-1476,0,4963
2025/6/1,14:30,4878,808,444,1334,149,238,288,266,0,196,88,4133,620,0,30,-1455,0,-1236,0,4877
2025/6/1,15:00,4828,810,441,1364,150,240,289,258,0,194,89,3724,512,0,25,-1202,0,-1152,0,4827
2025/6/1,15:30,4796,806,448,1511,152,240,263,297,0,213,69,3279,381,0,23,-738,0,-1412,0,4796
2025/6/1,16:00,5082,808,443,1558,151,269,184,318,0,254,30,2975,0,6,0,-514,0,-1188,0,5080
2025/6/1,16:30,5155,810,428,1940,152,371,178,321,0,278,6,2307,0,6,0,127,0,-1584,0,5156
2025/6/1,17:00,5355,806,409,2251,153,484,50,304,0,283,0,1641,0,3,0,316,0,-1296,0,5354
2025/6/1,17:30,5416,808,428,2416,154,498,14,308,0,285,0,1005,0,1,0,274,0,-760,0,5417
2025/6/1,18:00,5524,808,639,2624,155,505,0,319,0,284,0,504,0,1,0,425,1,-740,0,5525
2025/6/1,18:30,5438,808,590,2862,157,503,0,332,0,284,0,161,0,4,0,327,1,-592,0,5437
2025/6/1,19:00,5538,808,677,2889,156,505,0,331,0,284,0,4,0,1,0,274,1,-392,0,5538
2025/6/1,19:30,5414,808,516,2889,156,507,0,335,0,284,0,0,0,3,0,252,1,-336,0,5415
2025/6/1,20:00,5356,808,546,2938,156,505,0,332,0,284,0,0,0,3,0,285,1,-502,0,5356
2025/6/1,20:30,5275,808,469,2978,156,503,0,329,0,283,0,0,0,2,0,252,1,-506,0,5275
2025/6/1,21:00,5190,808,499,3036,155,503,0,324,0,285,0,0,0,2,0,179,0,-602,0,5189
2025/6/1,21:30,4980,808,468,3034,157,503,0,321,0,284,0,0,0,0,0,31,0,-628,0,4978
2025/6/1,22:00,4834,810,527,2785,155,504,0,297,0,284,0,0,0,0,0,-43,0,-486,0,4833
2025/6/1,22:30,4626,808,596,2542,155,509,0,261,0,284,0,0,0,0,0,14,0,-542,0,4627
2025/6/1,23:00,4629,806,528,2480,155,503,0,247,0,285,0,0,0,0,0,49,0,-424,0,4629
2025/6/1,23:30,4504,810,491,2540,154,505,0,257,0,284,0,0,0,0,0,77,0,-614,0,4504
2025/6/2,00:00,4429,808,387,2610,154,505,0,257,0,284,0,0,0,0,0,62,0,-638,0,4429
2025/6/2,00:30,4421,808,365,2798,155,503,0,269,0,284,0,0,0,0,0,52,0,-814,0,4420
2025/6/2,01:00,4364,808,362,2889,153,505,0,252,0,283,0,0,0,0,0,39,0,-928,0,4363
2025/6/2,01:30,4384,808,327,2876,154,505,0,265,0,284,0,0,0,0,0,39,0,-874,0,4384
2025/6/2,02:00,4450,810,363,2842,154,503,0,272,0,284,0,0,0,0,0,39,-1,-818,0,4448
2025/6/2,02:30,4529,808,320,2765,155,502,0,293,0,283,0,0,0,0,0,39,0,-636,0,4529
2025/6/2,03:00,4662,808,342,2751,157,505,0,353,0,283,0,0,0,0,0,43,0,-582,0,4660
2025/6/2,03:30,4877,810,322,2831,156,507,0,356,0,283,0,0,0,0,0,47,0,-438,0,4874
2025/6/2,04:00,5095,808,357,2907,157,503,0,358,0,283,0,0,0,0,0,48,0,-326,0,5095
2025/6/2,04:30,5236,808,339,3055,157,503,0,308,0,283,0,0,0,0,0,70,0,-288,0,5235
2025/6/2,05:00,5320,808,427,3119,157,505,0,317,0,284,0,45,0,0,0,158,0,-502,0,5318
2025/6/2,05:30,5176,810,333,2960,159,505,0,310,0,284,0,304,0,1,0,85,0,-574,0,5177
2025/6/2,06:00,5195,810,367,2710,156,501,0,264,0,284,0,698,0,4,0,117,0,-718,0,5193
2025/6/2,06:30,5170,810,326,2644,156,503,0,262,0,284,0,1268,0,6,0,-21,0,-1068,0,5170
2025/6/2,07:00,5190,808,328,2540,155,505,0,248,0,284,0,1826,0,10,0,-171,0,-1344,0,5189
2025/6/2,07:30,5361,808,390,2363,155,505,0,243,0,282,0,2289,0,10,0,-584,0,-1100,0,5361
2025/6/2,08:00,5499,810,345,2353,154,492,0,241,0,281,0,2621,0,11,0,-206,0,-1604,0,5498
2025/6/2,08:30,5896,808,366,2221,156,490,0,244,0,281,0,2945,0,10,0,-90,0,-1536,0,5895
2025/6/2,09:00,6042,808,426,2232,154,491,0,252,0,281,0,3159,0,12,0,111,0,-1884,0,6042
2025/6/2,09:30,6075,810,362,2228,154,493,0,276,0,281,0,3341,0,12,0,34,0,-1918,0,6073
2025/6/2,10:00,6122,808,334,2355,154,493,0,283,0,281,0,3450,0,6,0,-607,0,-1436,0,6121
2025/6/2,10:30,6313,810,411,2725,153,491,0,289,0,280,0,3348,0,4,0,-983,0,-1216,0,6312
2025/6/2,11:00,6233,808,388,2774,154,490,0,265,0,280,0,3126,0,5,0,-449,0,-1608,0,6233
2025/6/2,11:30,6200,810,389,2778,156,490,0,241,0,280,0,2978,0,2,0,-885,0,-1040,0,6199
2025/6/2,12:00,5888,808,390,2684,154,492,0,245,0,285,0,2796,0,3,0,-814,0,-1156,0,5887
2025/6/2,12:30,5954,808,392,2898,154,493,0,243,0,284,0,2470,0,2,0,-590,0,-1202,0,5952
2025/6/2,13:00,6016,808,443,3037,155,491,0,253,0,282,0,2232,0,3,0,-618,0,-1070,0,6016
2025/6/2,13:30,6141,808,459,3091,154,506,0,256,0,282,0,2089,0,4,0,-285,0,-1222,0,6142
2025/6/2,14:00,6210,810,497,3055,155,518,0,260,0,280,0,2102,0,3,0,-407,0,-1064,0,6209
2025/6/2,14:30,6403,808,595,3111,157,525,0,261,0,281,0,1838,0,3,0,40,0,-1216,0,6403
2025/6/2,15:00,6399,810,683,3173,155,515,0,264,0,282,0,1482,0,3,0,119,0,-1088,0,6398
2025/6/2,15:30,6492,808,654,3235,156,533,0,272,0,282,0,1093,0,3,0,193,0,-736,0,6493
2025/6/2,16:00,6468,808,636,3311,156,564,0,333,0,284,0,744,0,9,0,233,0,-612,0,6466
2025/6/2,16:30,6381,810,632,3316,156,560,0,372,0,284,0,559,0,25,0,226,0,-560,0,6380
2025/6/2,17:00,6183,808,575,3294,158,556,0,388,0,285,0,440,0,32,0,211,0,-564,0,6183
2025/6/2,17:30,6253,808,742,3315,156,557,0,384,0,285,0,313,0,49,0,442,0,-798,0,6253
2025/6/2,18:00,6243,810,753,3317,156,523,0,382,0,287,0,174,0,59,0,690,0,-908,0,6243
2025/6/2,18:30,6223,808,754,3319,156,524,0,384,0,287,0,51,0,60,0,593,0,-712,0,6224
2025/6/2,19:00,6068,810,757,3322,156,519,0,377,0,287,0,0,0,72,0,576,0,-808,0,6068
2025/6/2,19:30,6063,808,751,3316,158,521,0,372,0,286,0,0,0,79,0,622,0,-850,0,6063
2025/6/2,20:00,5906,810,691,3309,156,520,0,372,0,287,0,0,0,90,0,431,0,-760,0,5906
2025/6/2,20:30,5934,808,653,3182,156,518,0,371,0,287,0,0,0,93,0,526,0,-660,0,5934
2025/6/2,21:00,5729,808,574,3112,155,520,0,374,0,287,0,0,0,93,0,393,0,-588,0,5728
2025/6/2,21:30,5509,810,564,3055,155,516,0,341,0,287,0,0,0,89,0,262,0,-570,0,5509
2025/6/2,22:00,5431,808,574,3058,155,505,0,324,0,287,0,0,0,91,0,306,0,-678,0,5430
2025/6/2,22:30,5457,810,628,3035,156,503,0,313,0,287,0,0,0,91,0,252,0,-618,0,5457
2025/6/2,23:00,5390,808,600,2985,154,505,0,273,0,287,0,0,0,89,0,163,0,-474,0,5390
2025/6/2,23:30,5264,806,533,2951,154,503,0,268,0,287,0,0,0,96,0,123,0,-458,0,5263
2025/6/3,00:00,5097,808,594,2913,153,505,0,277,0,286,0,0,0,93,0,31,0,-564,0,5096
2025/6/3,00:30,5041,808,634,2928,154,503,0,301,0,286,0,0,0,88,0,11,0,-674,0,5039
2025/6/3,01:00,4903,810,596,2827,154,503,0,298,0,286,0,0,0,87,0,-284,0,-374,0,4903
2025/6/3,01:30,4919,808,622,2953,156,505,0,302,0,286,0,0,0,86,0,-371,0,-428,0,4919
2025/6/3,02:00,4943,810,658,2876,154,503,0,301,0,286,0,0,0,87,0,-369,0,-364,0,4942
2025/6/3,02:30,5070,808,755,2972,155,501,0,311,0,286,0,0,0,88,0,-299,1,-508,0,5070
2025/6/3,03:00,5199,808,809,2999,156,505,0,346,0,286,0,0,0,87,0,-141,0,-656,0,5199
2025/6/3,03:30,5434,808,919,3035,156,505,0,368,0,286,0,0,0,86,0,-145,0,-586,0,5432
2025/6/3,04:00,5617,808,1024,2870,159,503,0,386,0,285,0,0,0,84,0,-140,0,-362,0,5617
2025/6/3,04:30,5722,810,931,2760,157,503,0,349,0,286,0,0,0,82,0,-54,0,-102,0,5722
2025/6/3,05:00,5752,808,1084,2676,157,503,0,365,0,287,0,26,0,78,0,214,0,-448,0,5750
2025/6/3,05:30,5688,810,937,2610,156,505,0,356,0,287,0,77,0,71,0,120,0,-240,0,5689
2025/6/3,06:00,5714,808,774,2459,156,501,0,359,0,287,0,155,0,61,0,1,0,152,0,5713
2025/6/3,06:30,5638,810,762,2568,155,504,0,371,0,286,0,207,0,54,0,0,0,-80,0,5637
2025/6/3,07:00,5662,808,821,2587,157,503,0,412,0,286,0,278,0,32,0,0,0,-224,0,5660
2025/6/3,07:30,5730,810,843,2583,156,507,0,420,0,285,0,351,0,14,0,0,0,-240,0,5729
2025/6/3,08:00,6047,808,1068,2605,156,490,0,416,0,284,0,428,0,13,0,145,0,-366,0,6047
2025/6/3,08:30,6400,810,1128,2611,156,493,0,415,0,285,0,488,0,5,0,572,0,-562,0,6401
2025/6/3,09:00,6448,808,1132,2633,157,491,0,458,0,284,0,661,0,3,0,731,0,-910,0,6448
2025/6/3,09:30,6552,810,1128,2630,159,493,0,467,0,284,0,760,0,2,0,665,0,-848,0,6550
2025/6/3,10:00,6301,808,911,2616,158,494,0,408,0,283,0,804,0,2,0,93,0,-276,0,6301
2025/6/3,10:30,6351,810,719,2454,157,495,0,411,0,283,0,1011,0,1,0,0,0,10,0,6351
2025/6/3,11:00,6208,808,630,2289,157,493,0,410,0,283,0,1213,0,3,0,-263,0,184,0,6207
2025/6/3,11:30,6272,810,661,2202,157,500,0,408,0,283,0,1404,0,4,0,-66,0,-92,0,6271
2025/6/3,12:00,5847,808,719,2161,156,497,0,384,0,285,0,1488,0,7,0,-33,0,-624,0,5848
2025/6/3,12:30,5797,810,866,2160,158,496,0,380,0,283,0,1541,0,13,0,0,0,-912,0,5795
2025/6/3,13:00,6067,808,922,2307,156,498,0,407,0,283,0,1652,0,16,0,19,0,-1000,0,6068
2025/6/3,13:30,6115,808,651,2302,156,493,0,448,0,283,0,1548,0,20,0,-4,0,-588,0,6117
2025/6/3,14:00,6064,808,579,2299,156,506,0,445,0,282,0,1820,0,23,0,-191,0,-662,0,6065
2025/6/3,14:30,6197,810,675,2327,156,501,0,451,0,281,0,1847,0,31,0,-158,0,-724,0,6197
2025/6/3,15:00,6138,808,657,2296,155,500,0,454,0,282,0,1608,0,36,0,2,0,-660,0,6138
2025/6/3,15:30,6265,808,785,2486,158,503,0,486,0,282,0,1401,0,41,0,176,0,-860,0,6266
2025/6/3,16:00,6276,810,915,2520,156,543,0,506,0,284,0,1164,0,42,0,44,0,-708,0,6276
2025/6/3,16:30,6228,808,886,2599,155,554,0,516,0,284,0,971,0,47,0,175,0,-768,0,6227
2025/6/3,17:00,6039,810,704,2827,156,552,0,504,0,284,0,736,0,44,0,164,0,-742,0,6039
2025/6/3,17:30,6039,808,711,3026,157,525,0,496,0,285,0,512,0,47,0,291,0,-820,0,6038
2025/6/3,18:00,6025,810,587,3235,156,536,0,498,0,287,0,283,0,45,0,424,0,-836,0,6025
2025/6/3,18:30,6048,808,634,3325,156,518,0,505,0,287,0,98,0,30,0,362,0,-676,0,6047
2025/6/3,19:00,5907,810,557,3322,156,524,0,492,0,286,0,3,0,34,0,417,0,-694,0,5907
2025/6/3,19:30,5832,808,479,3300,156,518,0,511,0,287,0,0,0,33,0,475,0,-736,0,5831
2025/6/3,20:00,5693,808,525,3213,156,520,0,512,0,286,0,0,0,47,0,275,0,-650,0,5692
2025/6/3,20:30,5695,810,647,3209,158,522,0,512,0,287,0,0,0,51,0,199,0,-700,0,5695
