単位[MW平均],,供給力,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/9/1,00:00,5754,791,357,4125,202,651,0,168,0,322,0,0,0,44,0,-232,0,-672,0,5756
2025/9/1,00:30,5615,791,383,4028,199,645,0,181,0,322,0,0,0,50,0,-270,0,-714,0,5615
2025/9/1,01:00,5398,793,377,3897,199,643,0,219,0,321,0,0,0,56,0,-283,-2,-822,0,5398
2025/9/1,01:30,5344,789,446,3900,198,649,0,236,0,320,0,0,0,54,0,-346,0,-902,0,5344
2025/9/1,02:00,5381,791,391,4117,200,642,0,238,0,319,0,0,0,39,0,-371,0,-984,0,5382
2025/9/1,02:30,5379,791,437,4057,200,646,0,242,0,319,0,0,0,29,0,-525,0,-816,0,5380
2025/9/1,03:00,5431,791,417,3966,201,645,0,233,0,319,0,0,0,30,0,-367,0,-804,0,5431
2025/9/1,03:30,5422,791,484,3955,199,645,0,215,0,318,0,0,0,38,0,-367,0,-856,0,5422
2025/9/1,04:00,5571,791,450,3860,203,649,0,201,0,319,0,0,0,42,0,-114,0,-830,0,5571
2025/9/1,04:30,5703,793,555,3938,201,647,0,209,0,319,0,0,0,45,0,-63,0,-942,0,5702
2025/9/1,05:00,5922,793,601,4089,201,647,0,193,0,319,0,0,0,42,0,42,0,-1004,0,5923
2025/9/1,05:30,5900,793,520,4061,201,645,0,185,0,319,0,5,0,42,0,37,0,-908,0,5900
2025/9/1,06:00,6105,793,579,4061,203,650,0,183,0,319,0,207,0,38,0,-73,0,-854,0,6106
2025/9/1,06:30,6440,793,629,3999,203,646,0,176,0,319,0,694,0,38,0,-73,0,-984,0,6440
2025/9/1,07:00,6726,793,748,3879,204,647,0,196,0,319,0,1301,0,34,0,-165,0,-1228,0,6728
2025/9/1,07:30,7266,791,796,3902,204,655,0,214,0,317,0,1938,0,31,0,-244,0,-1336,0,7268
2025/9/1,08:00,7940,793,769,3955,205,662,0,253,0,317,0,2537,0,28,0,23,0,-1600,0,7942
2025/9/1,08:30,8563,791,771,4063,206,662,0,212,0,316,0,3114,0,23,0,30,0,-1624,0,8564
2025/9/1,09:00,8989,791,827,4152,207,660,0,232,0,316,0,3552,0,24,0,30,0,-1800,0,8991
2025/9/1,09:30,9322,793,882,4267,207,662,0,207,0,315,0,3875,0,23,0,14,0,-1924,0,9321
2025/9/1,10:00,9435,791,843,4312,205,660,0,202,0,313,0,4087,0,21,0,-257,0,-1740,0,9437
2025/9/1,10:30,9538,791,866,4301,205,654,0,220,0,313,0,4377,0,17,0,-424,0,-1782,0,9538
2025/9/1,11:00,9656,791,927,4309,207,660,0,218,0,314,0,4444,0,15,0,-403,0,-1826,0,9656
2025/9/1,11:30,9787,793,837,4256,207,656,0,210,0,314,0,4642,0,12,0,-254,0,-1886,0,9787
2025/9/1,12:00,9573,791,868,4282,208,660,0,184,0,314,0,4591,0,15,0,-514,0,-1826,0,9573
2025/9/1,12:30,9499,789,901,4286,208,665,0,160,0,314,0,4518,0,17,0,-401,0,-1958,0,9499
2025/9/1,13:00,9789,793,963,4223,208,686,0,165,0,313,0,4465,0,20,0,-80,0,-1968,0,9788
2025/9/1,13:30,9860,791,1196,4138,210,684,0,172,0,313,0,4376,0,16,0,-308,0,-1728,0,9860
2025/9/1,14:00,9794,791,1216,4119,236,680,0,175,0,312,0,4230,0,14,0,-468,0,-1512,0,9793
2025/9/1,14:30,9782,791,1188,4159,290,674,0,181,0,313,0,4075,0,9,0,24,0,-1922,0,9782
2025/9/1,15:00,9799,791,1356,4298,331,682,0,177,0,314,0,3626,0,15,0,32,0,-1822,0,9800
2025/9/1,15:30,9840,789,1550,4316,421,675,0,177,0,314,0,3097,0,17,0,105,0,-1620,0,9841
2025/9/1,16:00,9943,789,1827,4322,443,698,0,186,0,315,0,2481,0,21,0,640,2,-1780,0,9944
2025/9/1,16:30,9989,789,1879,4332,439,668,0,237,0,316,0,1769,0,24,0,954,2,-1420,0,9989
2025/9/1,17:00,9722,791,1841,4344,437,662,0,259,0,316,0,1098,0,26,0,1085,2,-1140,0,9721
2025/9/1,17:30,9549,791,1871,4348,436,659,0,277,0,317,0,502,0,31,0,1311,2,-996,0,9549
2025/9/1,18:00,9294,791,1893,4353,434,661,0,290,0,318,0,107,0,41,0,1145,0,-740,0,9293
2025/9/1,18:30,9119,789,1860,4367,436,661,0,291,0,318,0,0,0,45,0,1079,0,-728,0,9118
2025/9/1,19:00,8797,789,1881,4357,407,663,0,283,0,318,0,0,0,52,0,1214,0,-1168,0,8796
2025/9/1,19:30,8509,791,1907,4364,334,661,0,286,0,318,0,0,0,42,0,896,0,-1090,0,8509
2025/9/1,20:00,8259,789,1679,4347,236,663,0,278,0,318,0,0,0,30,0,286,0,-366,0,8260
2025/9/1,20:30,8026,791,1759,4354,208,663,0,250,0,318,0,0,0,32,0,383,0,-734,0,8024
2025/9/1,21:00,7850,789,1851,4326,203,661,0,239,0,318,0,0,0,25,0,352,0,-914,0,7850
2025/9/1,21:30,7637,789,1814,4335,207,659,0,246,0,317,0,0,0,22,0,183,0,-934,0,7638
2025/9/1,22:00,7368,789,1718,4244,204,665,0,228,0,318,0,0,0,25,0,149,0,-972,0,7368
2025/9/1,22:30,7139,789,1660,4240,202,667,0,246,0,319,0,0,0,34,0,69,0,-1086,0,7140
2025/9/1,23:00,6998,789,1664,4223,203,663,0,244,0,322,0,0,0,39,0,0,0,-1150,0,6997
2025/9/1,23:30,6701,789,1519,4218,203,663,0,234,0,324,0,0,0,48,0,0,0,-1296,0,6702
2025/9/2,00:00,6415,789,1176,4197,201,663,0,225,0,325,0,0,0,47,0,0,0,-1208,0,6415
2025/9/2,00:30,6205,789,934,4212,201,665,0,212,0,326,0,0,0,49,0,-17,-2,-1164,0,6205
2025/9/2,01:00,5995,787,861,4230,200,663,0,193,0,327,0,0,0,53,0,-117,-2,-1200,0,5995
2025/9/2,01:30,5965,789,907,4241,200,663,0,198,0,330,0,0,0,60,0,-701,-2,-720,0,5965
